continent,country,population,day,time,cases_new,cases_active,cases_critical,cases_recovered,cases_1M_pop,cases_total,deaths_new,deaths_1M_pop,deaths_total,tests_1M_pop,tests_total
Asia,India,1406631776.0,2023-12-14,2023-12-14T06:45:03+00:00,0,0.0,0.0,0.0,31994,45003341,0,379,533307.0,661721,930797975.0
Europe,Serbia,8653016.0,2023-12-14,2023-12-14T06:45:03+00:00,0,9293.0,0.0,2569079.0,300061,2596429,0,2087,18057.0,1536717,13297238.0
Europe,Belgium,11668278.0,2023-12-14,2023-12-14T06:45:03+00:00,0,6647.0,0.0,4794191.0,414390,4835214,0,2946,34376.0,3172590,37018657.0
Europe,Slovakia,5460193.0,2023-12-14,2023-12-14T06:45:03+00:00,+361,627.0,19.0,1847863.0,342416,1869657,0,3877,21167.0,1364027,7447852.0
Asia,Philippines,112508994.0,2023-12-14,2023-12-14T06:45:03+00:00,+183,3813.0,0.0,4057177.0,36688,4127769,0,594,66779.0,320267,36032964.0
Europe,Russia,145805947.0,2023-12-14,2023-12-14T06:45:03+00:00,+107174,271657.0,0.0,22865282.0,161432,23537803,+148,2749,400864.0,1875095,273400000.0
Europe,Romania,19031335.0,2023-12-14,2023-12-14T06:45:03+00:00,0,1171.0,40.0,3435256.0,184174,3505080,0,3607,68653.0,1489942,28355584.0
Europe,Poland,37739785.0,2023-12-14,2023-12-14T06:45:03+00:00,+3830,0.0,0.0,0.0,174864,6599311,+34,3178,119927.0,1033859,39017615.0
Europe,Czechia,10736784.0,2023-12-14,2023-12-14T06:45:03+00:00,+3026,21961.0,61.0,4656344.0,439748,4721483,+3,4022,43178.0,5358754,57535788.0
North-America,North-America,0.0,2023-12-14,2023-12-14T06:45:03+00:00,0,2703124.0,6762.0,125338599.0,0,129703209,0,0,1661486.0,0,0.0
Asia,Asia,0.0,2023-12-14,2023-12-14T06:45:03+00:00,0,14248803.0,14731.0,205142439.0,0,220943358,0,0,1552116.0,0,0.0
Europe,Europe,0.0,2023-12-14,2023-12-14T06:45:03+00:00,0,4181764.0,4735.0,245680549.0,0,251949565,0,0,2087252.0,0,0.0
Oceania,Oceania,0.0,2023-12-14,2023-12-14T06:45:03+00:00,+1751,130664.0,48.0,14505475.0,0,14667891,0,0,31752.0,0,0.0
Africa,Africa,0.0,2023-12-14,2023-12-14T06:45:03+00:00,0,506769.0,542.0,12089627.0,0,12855253,0,0,258857.0,0,0.0
All,All,0.0,2023-12-14,2023-12-14T06:45:03+00:00,+1751,23193977.0,35787.0,669335964.0,89737,699484999,0,892.3,6955058.0,0,0.0
North-America,USA,334805269.0,2023-12-14,2023-12-14T06:45:03+00:00,0,987576.0,1607.0,107653598.0,328043,109830389,0,3552,1189215.0,3543990,1186546440.0
Oceania,Australia,26068792.0,2023-12-14,2023-12-14T06:45:03+00:00,+1751,0.0,20.0,0.0,449628,11721270,0,908,23671.0,3142326,81916639.0
North-America,Canada,38388419.0,2023-12-14,2023-12-14T06:45:03+00:00,0,33491.0,99.0,4742657.0,125863,4831665,0,1446,55517.0,1732948,66525130.0
Europe,Switzerland,8773637.0,2023-12-14,2023-12-14T06:45:03+00:00,0,6974.0,0.0,4411111.0,505211,4432537,0,1647,14452.0,2716487,23833472.0
Asia,Singapore,5943546.0,2023-12-14,2023-12-14T06:45:03+00:00,0,3156.0,9.0,2733948.0,460842,2739037,0,325,1933.0,4165302,24756666.0
Europe,Sweden,10218971.0,2023-12-14,2023-12-14T06:45:03+00:00,0,8657.0,0.0,2704193.0,268018,2738868,0,2546,26018.0,1908301,19500873.0
